run_id,case_id,llm_name,procedure_name,cpt_code,matched_description,similarity_score,match_confidence,negotiated_dollar,min_charge,max_charge
0004fef9-08f6-4ae3-86f9-921887cfd624,nzlii-nzera-2022-536-html,openai/gpt-5.2,pregnancy test,81025,Urine pregnancy test,0.7695859670639038,high,5.41,5.41,6.99
0004fef9-08f6-4ae3-86f9-921887cfd624,nzlii-nzera-2022-536-html,openai/gpt-5.2,CBC,85027,Complete complete blood count automated,0.5221498012542725,medium,7.2,7.2,9.3
0004fef9-08f6-4ae3-86f9-921887cfd624,nzlii-nzera-2022-536-html,openai/gpt-5.2,CRP/ESR,92650,Auditory evoked potential screening,0.44373685121536255,low,33.97,33.97,43.85
0004fef9-08f6-4ae3-86f9-921887cfd624,nzlii-nzera-2022-536-html,openai/gpt-5.2,electrolytes,80051,Electrolyte panel,0.5783743858337402,medium,16.7,16.7,21.56
0004fef9-08f6-4ae3-86f9-921887cfd624,nzlii-nzera-2022-536-html,openai/gpt-5.2,kidney function tests,78725,Kidney function study,0.8608092665672302,high,264.37,264.37,341.29
0004fef9-08f6-4ae3-86f9-921887cfd624,nzlii-nzera-2022-536-html,openai/gpt-5.2,liver tests,78201,Liver imaging,0.7178550958633423,high,754.6,754.6,974.16
0004fef9-08f6-4ae3-86f9-921887cfd624,nzlii-nzera-2022-536-html,openai/gpt-5.2,urinalysis,81005,Urinalysis,0.9644819498062134,high,5.41,5.41,6.99
0004fef9-08f6-4ae3-86f9-921887cfd624,nzlii-nzera-2022-536-html,openai/gpt-5.2,urine culture,81007,Urine screen for bacteria,0.614169180393219,medium,5.41,5.41,6.99
0004fef9-08f6-4ae3-86f9-921887cfd624,nzlii-nzera-2022-536-html,openai/gpt-5.2,pelvic ultrasound,76857,Ultrasound examination pelvic limited,0.7994153499603271,high,82.96,82.96,107.1
0004fef9-08f6-4ae3-86f9-921887cfd624,nzlii-nzera-2022-536-html,openai/gpt-5.2,CT abdomen/pelvis,74178,CT abdomen and pelvis one or more regions,0.8140257000923157,high,334.33,334.33,431.6
0004fef9-08f6-4ae3-86f9-921887cfd624,nzlii-nzera-2022-536-html,openai/gpt-5.2,MRI abdomen/pelvis,74183,MRI abdomen without and with dye,0.7167772054672241,high,327.82,327.82,423.2
0004fef9-08f6-4ae3-86f9-921887cfd624,nzlii-nzera-2022-536-html,openai/gpt-5.2,stool tests,84488,Test feces for trypsin.,0.5618627071380615,medium,9.98,9.98,12.88
0004fef9-08f6-4ae3-86f9-921887cfd624,nzlii-nzera-2022-536-html,openai/gpt-5.2,gastroenterology consultation,78262,Gastroesophageal reflux examination,0.5262464880943298,medium,264.37,264.37,341.29
000547a6-ae07-448f-a823-28920169e163,nzlii-nzhpdt-2015-717-html,openrouter/deepseek/deepseek-r1,Cognitive Behavioral Therapy,94644,Cognitive Behavioral Therapy 1st hour,0.6345423460006714,medium,55.17,55.17,71.22
000547a6-ae07-448f-a823-28920169e163,nzlii-nzhpdt-2015-717-html,openrouter/deepseek/deepseek-r1,PHQ-9 screening questionnaire,96151,Assess health/behavior subsequent,0.5316529870033264,medium,146.93,146.93,189.68
000547a6-ae07-448f-a823-28920169e163,nzlii-nzhpdt-2015-717-html,openrouter/deepseek/deepseek-r1,GAD-7 screening questionnaire,80171,Drug screen quantitative gabapentin,0.41605544090270996,low,15.54,15.54,20.07
000547a6-ae07-448f-a823-28920169e163,nzlii-nzhpdt-2015-717-html,openrouter/deepseek/deepseek-r1,Thyroid panel,84442,Assay of thyroid stimulating hormone activity,0.5917884111404419,medium,18.68,18.68,24.12
000547a6-ae07-448f-a823-28920169e163,nzlii-nzhpdt-2015-717-html,openrouter/deepseek/deepseek-r1,Basic metabolic panel,80053,Comprehensive metabolic panel,0.8896424174308777,high,16.7,16.7,21.56
00379be3-f13c-4e67-a6b6-0c463f97f5c6,courtlistener-10349638,openrouter/google/gemini-3-pro-preview,CT scan of abdomen and pelvis with IV contrast,74176,CT abdomen and pelvis without contrast,0.8232883214950562,high,334.33,334.33,431.6
00379be3-f13c-4e67-a6b6-0c463f97f5c6,courtlistener-10349638,openrouter/google/gemini-3-pro-preview,Complete Blood Count (CBC),85027,Complete complete blood count automated,0.862453043460846,high,7.2,7.2,9.3
00379be3-f13c-4e67-a6b6-0c463f97f5c6,courtlistener-10349638,openrouter/google/gemini-3-pro-preview,Basic Metabolic Panel (BMP),80053,Comprehensive metabolic panel,0.7639443874359131,high,16.7,16.7,21.56
00379be3-f13c-4e67-a6b6-0c463f97f5c6,courtlistener-10349638,openrouter/google/gemini-3-pro-preview,Lactate level,83605,Assay of lactic acid,0.5951994061470032,medium,15.4,15.4,19.89
00379be3-f13c-4e67-a6b6-0c463f97f5c6,courtlistener-10349638,openrouter/google/gemini-3-pro-preview,surgical consultation,88329,Pathology consultation during surgical procedure,0.661665678024292,medium,29.47,29.47,38.05
00382404-1e82-4469-86ec-583ad0aa14e9,courtliste-4832982-texas-children-hospital-v-aviv-barr-and-ela-b,openrouter/mistralai/mistral-large,EEG monitoring,95953,Electroencephalogram monitoring/computer,0.8495486974716187,high,590.8,590.8,762.7
0056cd98-7127-48be-b714-85afb71cf60d,bailii-qb-2020-3506-html,openrouter/deepseek/deepseek-r1,MRI of the entire spine with emphasis on lumbosacral region,72148,Magnetic Resonance Imaging lumbar spine without dye,0.6752058267593384,medium,216.93,216.93,280.05
0056cd98-7127-48be-b714-85afb71cf60d,bailii-qb-2020-3506-html,openrouter/deepseek/deepseek-r1,neurosurgery consultation,76140,X-ray consultation,0.5974189043045044,medium,73.72,73.72,95.17
0056cd98-7127-48be-b714-85afb71cf60d,bailii-qb-2020-3506-html,openrouter/deepseek/deepseek-r1,urology consultation,53200,Biopsy of urethra,0.5992764234542847,medium,1793.21,1793.21,2314.98
0069ecc3-a415-4be9-b32b-05ee8466d6c6,courtlistener-4871470,openrouter/google/gemini-2.0-flash-001,Complete Blood Count,85027,Complete complete blood count automated,0.7310539484024048,high,7.2,7.2,9.3
0069ecc3-a415-4be9-b32b-05ee8466d6c6,courtlistener-4871470,openrouter/google/gemini-2.0-flash-001,C-Reactive Protein,86140,C-reactive protein,0.9677882194519043,high,19.59,19.59,25.29
0069ecc3-a415-4be9-b32b-05ee8466d6c6,courtlistener-4871470,openrouter/google/gemini-2.0-flash-001,Urinalysis,81005,Urinalysis,0.9644819498062134,high,5.41,5.41,6.99
0069ecc3-a415-4be9-b32b-05ee8466d6c6,courtlistener-4871470,openrouter/google/gemini-2.0-flash-001,Blood Culture,88237,Tissue culture bone marrow,0.606230616569519,medium,51.58,51.58,66.58
0069ecc3-a415-4be9-b32b-05ee8466d6c6,courtlistener-4871470,openrouter/google/gemini-2.0-flash-001,Pelvic Ultrasound,76857,Ultrasound examination pelvic limited,0.7994153499603271,high,82.96,82.96,107.1
0069ecc3-a415-4be9-b32b-05ee8466d6c6,courtlistener-4871470,openrouter/google/gemini-2.0-flash-001,OB/GYN consultation,59409,Obstetrical care,0.5972180366516113,medium,1313.49,1313.49,1695.67
00916ecc-abc6-4082-93e5-13b6e714443d,nzlii-nzmpdt-2003-247-html,openrouter/anthropic/claude-3.5-haiku,colorectal surgical consultation,88329,Pathology consultation during surgical procedure,0.5636861324310303,medium,29.47,29.47,38.05
00916ecc-abc6-4082-93e5-13b6e714443d,nzlii-nzmpdt-2003-247-html,openrouter/anthropic/claude-3.5-haiku,"CT scan of chest, abdomen, and pelvis",74177,CT abdomen and pelvis with contrast,0.7325493097305298,high,334.33,334.33,431.6
00916ecc-abc6-4082-93e5-13b6e714443d,nzlii-nzmpdt-2003-247-html,openrouter/anthropic/claude-3.5-haiku,oncology assessment,81538,Oncology lung,0.5792175531387329,medium,570.63,570.63,736.67
00994e6c-e6cb-45dd-b06d-0a29877f33f6,courtlistener-10686238,openai/gpt-5.2,hemodialysis,90935,Hemodialysis one evaluation,0.7952315211296082,high,316.8,316.8,408.98
00994e6c-e6cb-45dd-b06d-0a29877f33f6,courtlistener-10686238,openai/gpt-5.2,nephrology consultation,80502,Laboratory pathology consultation,0.5383222103118896,medium,29.47,29.47,38.05
00994e6c-e6cb-45dd-b06d-0a29877f33f6,courtlistener-10686238,openai/gpt-5.2,serum levetiracetam level,80177,Drug screen quantitative levetiracetam,0.5844516158103943,medium,15.54,15.54,20.07
00994e6c-e6cb-45dd-b06d-0a29877f33f6,courtlistener-10686238,openai/gpt-5.2,comprehensive toxicology screen,81007,Urine screen for bacteria,0.5328714847564697,medium,5.41,5.41,6.99
00994e6c-e6cb-45dd-b06d-0a29877f33f6,courtlistener-10686238,openai/gpt-5.2,basic metabolic panel,80053,Comprehensive metabolic panel,0.8896424174308777,high,16.7,16.7,21.56
00994e6c-e6cb-45dd-b06d-0a29877f33f6,courtlistener-10686238,openai/gpt-5.2,arterial blood gas,82803,Blood gases any combination,0.5979588031768799,medium,17.71,17.71,22.87
00994e6c-e6cb-45dd-b06d-0a29877f33f6,courtlistener-10686238,openai/gpt-5.2,complete blood count,85027,Complete complete blood count automated,0.7310537695884705,high,7.2,7.2,9.3
00994e6c-e6cb-45dd-b06d-0a29877f33f6,courtlistener-10686238,openai/gpt-5.2,liver function tests,78201,Liver imaging,0.6417269706726074,medium,754.6,754.6,974.16
00994e6c-e6cb-45dd-b06d-0a29877f33f6,courtlistener-10686238,openai/gpt-5.2,urinalysis,81005,Urinalysis,0.9644820094108582,high,5.41,5.41,6.99
00994e6c-e6cb-45dd-b06d-0a29877f33f6,courtlistener-10686238,openai/gpt-5.2,urine culture,81007,Urine screen for bacteria,0.614169180393219,medium,5.41,5.41,6.99
