run_id,case_id,jurisdiction,specialty,malpractice_type,liability_code,llm_name,score_0_2,risk_flag,defendant_action,expected_action,missing_criteria_count,met_criteria_count,reasoning_quality_score,started_at,ended_at,feedback,recommendation_length,questions_asked,score_valid,deferral_reason,gpt4o_score,claude_score,grok_score,gpt5_score,majority_score,mean_score,primary_score,flesch_kincaid_grade,smog_index,transformer_readability_score,transformer_model_name,lexical_overlap_adjacent,lexical_overlap_global,pronoun_density,semantic_coherence_local,semantic_coherence_global
c6137c6f-1cba-4e40-abdf-cd19082b08e6,bailii-qb-2020-91-html,UK,Obstetrics/Gynecology,surgical_technique_error,0,openrouter/google/gemini-3-pro-preview,2,False,Defendant chose to continue monitoring,Caesarean section should have been performed,1,2,0.5,2026-01-20T08:59:55.950176,2026-01-20T09:02:52.086029,"**Legally defensible response.** You addressed the key clinical issues that the court identified as standard of care.

**Addressed (court-endorsed):**
- Caesarean section should have been performed...
- Proceed with emergency caesarean section...

**Missing (per court standard):**
- Caesarean section should have been performed at 4:10 am...

**Clinical reasoning strengths:** evidence integration, urgency recognition",1517,10,True,,2,2,2,2,2,2.0,0,,,,,,,,,
618e2886-3b3f-496b-a25e-723b70843494,courtlistener-10288732,US,Dermatology,surgical_technique_error,0,openrouter/anthropic/claude-3.5-haiku,2,False,Defendant continued monitoring without biopsy,Biopsy should have been performed,0,3,0.75,2026-02-01T08:38:27.796144,2026-02-01T08:38:50.290621,"**Legally defensible response.** You addressed the key clinical issues that the court identified as standard of care.

**Addressed (court-endorsed):**
- Biopsy should have been performed...
- Biopsy to confirm or rule out cancer...
- Biopsy the lesion to rule out malignancy...

**Clinical reasoning strengths:** differential diagnosis, evidence integration, urgency recognition",734,9,True,,2,2,2,2,2,2.0,2,,,,,,,,,
df2dbdeb-6553-4f56-8e52-c455429fdfb8,courtlistener-10766809,US,Radiology,test_selection_error,0,openrouter/x-ai/grok-4.1-fast,2,False,Defendant ordered only X-rays,CT scan should have been ordered,0,3,0.5,2026-01-18T15:11:21.859408,2026-01-18T15:13:31.566746,"**Legally defensible response.** You addressed the key clinical issues that the court identified as standard of care.

**Addressed (court-endorsed):**
- CT scan should have been ordered...
- CT scan should have been ordered to assess internal injuries...
- Order CT scan of the abdomen and pelvis...

**Clinical reasoning strengths:** evidence integration, urgency recognition",2241,10,True,,2,2,2,2,2,2.0,2,,,,,,,,,
42b2a485-1d5a-4dbb-8d97-4ea20973a829,courtliste-10773784-jacqueline-adams-v-finis-fields,US,Orthopedics,other,2,openrouter/deepseek/deepseek-r1,0,True,Defendant relied on patient's current report without prior records,Consideration of pre-existing conditions was necessary,3,0,0.5,2026-02-01T09:40:06.997407,2026-02-01T09:45:14.132032,"**Would likely not avoid malpractice finding.** Important clinical considerations identified by the court were not addressed.

**Missing (per court standard):**
- Consideration of pre-existing conditions was necessary...
- Comprehensive history should have been obtained...
- Consider pre-existing conditions and obtain prior medical records...

**Clinical reasoning strengths:** evidence integration, urgency recognition",1602,10,True,,0,0,2,0,0,0.667,0,,,,,,,,,
8a8459de-cfcb-4fbb-bf8a-ae7e78f0d338,courtlistener-10717133,US,Cardiology,test_selection_error,0,openrouter/meta-llama/llama-4-maverick,2,False,Defendant ordered chest x-ray only,CT scan should have been ordered,0,3,0.5,2026-01-20T11:00:24.465009,2026-01-20T11:04:50.217955,"**Legally defensible response.** You addressed the key clinical issues that the court identified as standard of care.

**Addressed (court-endorsed):**
- CT scan should have been ordered...
- CT scan would have confirmed aortic dissection, allowing for timely intervention...
- Order CT scan of the chest...

**Clinical reasoning strengths:** evidence integration, urgency recognition",230,7,True,,2,2,2,0,2,1.333,2,,,,,,,,,
8a94124a-5bea-423d-bfa4-d85d9d069a23,courtlistener-10697335,US,Orthopedics,informed_consent,2,openrouter/meta-llama/llama-4-scout,0,True,Defendant proceeded with replacing the spinal cord stimulator,Should have stopped and obtained further consent,3,0,0.75,2026-02-01T08:35:00.035911,2026-02-01T08:35:09.588478,"**Would likely not avoid malpractice finding.** Important clinical considerations identified by the court were not addressed.

**Missing (per court standard):**
- Should have stopped and obtained further consent...
- Patient should have been informed of the need for lead replacement...
- Stop the procedure and consult with patient/family for further consent...

**Clinical reasoning strengths:** differential diagnosis, evidence integration, appropriate uncertainty",894,10,True,,0,2,2,0,2,1.333,0,,,,,,,,,
ddd21771-74e7-4daf-a8b3-6690e4b608f3,courtlistener-10581240,US,Cardiology,surgical_technique_error,1,openai/gpt-4o-mini,1,False,Surgery delayed to allow Plavix to clear,Surgery should have been performed urgently,2,1,0.75,2026-02-01T08:34:26.122829,2026-02-01T08:34:37.710255,"**Note:** AI in diagnostic workup phase; case required immediate action recognition

**Partially defensible.** Some court-endorsed elements were addressed, but key issues identified in the judgment were missed.

**Addressed (court-endorsed):**
- Perform coronary bypass surgery urgently...

**Missing (per court standard):**
- Surgery should have been performed urgently...
- Urgent surgery should have been performed...

**Clinical reasoning strengths:** differential diagnosis, evidence integration, urgency recognition",929,10,False,AI in diagnostic workup phase; case required immediate action recognition,1,0,0,0,0,0.0,0,,,,,,,,,
7e8af428-f443-4858-9aed-7b4f3f85031d,courtlistener-4418234,US,Urology,test_selection_error,0,openai/gpt-4o,2,False,Defendant prescribed pain medication and observed,Scrotal ultrasound should have been ordered,0,3,1.0,2026-01-21T17:26:59.765002,2026-01-21T17:28:27.118821,"**Legally defensible response.** You addressed the key clinical issues that the court identified as standard of care.

**Addressed (court-endorsed):**
- Scrotal ultrasound should have been ordered...
- Ultrasound could have identified compromised blood flow...
- Order scrotal ultrasound to assess blood flow...

**Clinical reasoning strengths:** differential diagnosis, evidence integration, appropriate uncertainty, urgency recognition",1208,10,True,,2,2,2,2,2,2.0,2,,,,,,,,,
e9b1ea41-4de5-4e1c-bb3c-48c0a230dad3,bailii-qb-2019-2502-html,UK,Cardiology,referral_failure,1,openrouter/anthropic/claude-3.5-haiku,1,False,Defendant did not refer to cardiology,Referral to cardiology should have been made,2,1,1.0,2026-02-01T08:23:23.802671,2026-02-01T08:23:48.660513,"**Partially defensible.** Some court-endorsed elements were addressed, but key issues identified in the judgment were missed.

**Addressed (court-endorsed):**
- Refer to cardiology for further investigation...

**Missing (per court standard):**
- Referral to cardiology should have been made...
- Referral would have allowed timely intervention...

**Clinical reasoning strengths:** differential diagnosis, evidence integration, appropriate uncertainty, urgency recognition",1041,10,True,,1,2,2,2,2,2.0,0,,,,,,,,,
a14c4b0f-8ca1-4e7a-9098-6c4f40da8381,courtlistener-10697266,US,Pain Management,diagnosis_delay_or_error,0,openai/gpt-4o-mini,2,False,Defendant relied on polygraph test results,Comprehensive evaluation should have been used,0,3,0.5,2026-02-01T08:35:40.251040,2026-02-01T08:35:54.991878,"**Legally defensible response.** You addressed the key clinical issues that the court identified as standard of care.

**Addressed (court-endorsed):**
- Comprehensive evaluation should have been used...
- Comprehensive evaluation should have been conducted...
- Use comprehensive medical and psychological evaluation...

**Clinical reasoning strengths:** differential diagnosis, evidence integration",1065,10,True,,2,2,2,0,2,1.333,2,,,,,,,,,
